# Bedrijf|Plaats|URL — npm run scan:import -- data/klanten-leads-import.txt
Van Rennes Elektro- & Installatietechniek|Klaaswaal|https://www.vanrennes.nl
De Schrijn|Langbroek|https://deschrijn.nl
Bekenkamp|Laren|https://woonspecialist.nl/winkels/bekenkamp-laren
Decor Gordijn|Leiden|https://www.decorgordijn.nl
Glas- en Schilderwerken van Muiden|Leiden|https://vanmuiden.nl
Fontein elektrotechniek & deuraandrijvingen|Leidschendam|https://www.fonteinelektrotechniek.nl
J. Kuijper schildersbedrijf en onderhoudsbedrijf|Leidschendam|https://www.jkuijper.nl
Lameko zonwering|Leidschendam|https://www.lameko.nl
Timmerfabriek Verhagen|Leidschendam|https://www.timmerfabriekverhagen.nl
Vogelaar timmerwerk schilderen behangen|Leidschendam|https://vogelaarschilder.nl
RvW Schilderwerken|Leimuiden|https://rvwschilderwerken.nl
Woordes Bouw- & Timmerwerken|Leusden|https://www.woordesbouw.nl
Zandschulp Zonwering|Leusden|https://zandschulpzonwering.nl/showrooms/zonwering-leusden
ZENS Maatwerk|Loosdrecht|https://zensmaatwerk.nl
Bos Elektrotechniek|Maasdijk|https://www.boselektrotechniek.nl
van der Meer Elektrotechniek BV|Maasland|https://www.ejvandermeer.nl
Voorberg zonwering|Maassluis|https://www.voorbergzonwering.nl
Rioolservice P. van Adrichem|Moordrecht|https://rioolservice-pvanadrichem.nl
Verzijl De Woonprofessionals|Nieuw-Lekkerland|https://verzijlbv.nl
Decorette|Nieuw-Vennep|https://decorette.nl/winkels/nieuw-vennep
Ozbay Gordijnen|Nieuw-Vennep|http://www.ozbaygordijnen.nl
Rojas Zonwering & Interieur|Nieuw-Vennep|https://www.rojas-colorsathome.nl
Maat Dakkapellen|Nieuwegein|https://www.maatdakkapellen.nl
GroepenkastCompleet|Nieuwerkerk aan den IJssel|https://www.groepenkastcompleet.nl
ChargeCars|Nijkerk|https://chargecars.nl
C&M Schilders|Noordwijk|https://cm-schilders.com
Joost & Bart Schilderwerken|Noordwijk|https://www.joostenbartschilderwerken.nl
Schreuder Glas- en Schilderwerken|Noordwijk|https://www.schreuderschilderwerken.nl
Van der Nat Glas- en Schilderwerken|Noordwijk|https://vdnat.nl
Atelier Zuidinga|Purmerend|http://atelierzuidinga.nl
Bert Witsel Rioolservice Waterland|Purmerend|https://www.rioolservicewaterland.nl
CoolAir Nederland|Purmerend|https://www.coolairnederland.nl
D.S. Service|Purmerend|https://www.ds-service.nl
Denhil Kozijn en Geveltechniek|Purmerend|https://denhil.nl
Denhil Zonwering en Buitenleven|Purmerend|https://denhil.nl/producten/zonwering-purmerend
EBD Techniek|Purmerend|https://www.ebd-purmerend.nl
Engberts Elektrotechniek|Purmerend|https://engberts.nu
Finish Profiles|Purmerend|https://www.finish-profiles.nl
IVG Electro Groep|Purmerend|https://ivgelectrogroep.nl
Katuin|Purmerend|https://www.loodgieterkatuin.nl
Koel-My|Purmerend|https://koelmy.nl
Mazurel Installatietechniek|Purmerend|https://www.mazurel.nl
Ramenfabriek op 't Hoog|Purmerend|https://www.opthoog.nl/contact/vestigingen/purmerend
REVO|Purmerend|https://rizzyco.wixsite.com/revobv-2
Schilder en Wandafwerkingsbedrijf Rene Lek|Purmerend|https://renelek.nl
Schildersbedrijf K. de Graaf|Purmerend|https://kevindegraaf.nl
Schildersbedrijf van der Meer|Purmerend|https://meerschilder.nl
Decosier|Ridderkerk|https://www.decosier.nl
Starkozijn Katwijk|Rijnsburg|https://www.starkozijnkatwijk.nl
Loodgieterskwartier|Rijswijk|https://loodgieterskwartier.nl
Bastasol Zonwering|Rotterdam|https://www.bastasol.nl
De Gier|Rotterdam|https://degierwonen.nl
De Klussenier|Rotterdam|https://wimdejong.klussenier.nl
Harmony Gordijnen|Rotterdam|https://harmonygordijnen.nl
Installatiebedrijf Vis|Rotterdam|https://installatiebedrijfvis.nl
Lohmann|Rotterdam|https://lohmannbv.nl
Lugthart|Rotterdam|https://lugthart.nl
Plant services|Rotterdam|https://plantservices.nl
Quick Paint|Rotterdam|https://www.quickpaint.nl
Stoffenhuis Bestevaer|Rotterdam|http://www.stoffenhuisbestevaer.nl
Tulay|Rotterdam|https://tulay.nl
Van Lochem Schildersbedrijven|Rotterdam|https://www.vanlochem.nl
Luxury Home|Spijkenisse|https://luxuryhomeraamdecoratie.nl
Merwede tapijten|Spijkenisse|https://www.merwede-tapijten.nl
Woninginrichting-Aanhuis.nl|Spijkenisse|https://www.woninginrichting-aanhuis.nl/winkels/spijkenisse
Ambachtelijke Naaiwinkel|Utrecht|https://amnaaiwinkel.nl
Arena Gordijnenland|Utrecht|https://arenagordijnenland.nl
De Bovenkamer|Utrecht|http://bovenkamerutrecht.nl
De Kroon Zonwering|Utrecht|https://www.dekroonzonwering.nl
etech soest|Utrecht|https://www.etech.nu
Loodgietersbedrijf Utrecht|Utrecht|https://loodgietersbedrijfutrecht.nl
Louvenda Home|Utrecht|https://louvendahome.nl
Reinaerde Remake Meubel|Utrecht|https://www.reinaerde.nl/zorg/remakemeubel
Tafelboom|Utrecht|https://www.tafelboom.nl
De Pagter|Voorburg|https://depagter.info
Hennink Installatietechniek|Voorburg|https://hennink.info
I.B. Kracht|Voorburg|https://www.kracht.nl
JCM Styles|Voorburg|https://www.zonwering.nl/verkooppunten/rolluiken-voorburg
Leidekkersbedrijf van Eijk|Voorburg|http://ericvaneijk.nl
Loodgietersbedrijf Robberts|Voorburg|https://installatiebedrijfrobberts.nl
Nuoveni|Voorburg|https://nuoveni.nl
Sima Installatietechniek|Voorburg|https://simainstallatie.nl
Eyelux Zonwering|Voorschoten|https://www.eyelux.nl
Wolters Perez|Voorschoten|https://perezvoorschoten.nl
Installatiebureau Jonker BV|Wassenaar|https://www.jonkerbv.eu
Kuyt Schilders B.V. Schilderwerk|Wassenaar|https://www.kuytschilders.nl
Ambiance Zonwering|Woerden|https://www.ambiance-zonwering.nl/broere-woerden
Plomp installatietechniek|Woerden|https://www.plompinstallatietechniek.nl
H. Willemse Elektrotechniek B.V.|Zandvoort|https://www.willemseelektrotechniek.nl
Leen Meurs|Zoetermeer|https://www.schilderleenmeurs.nl
Aluku|Zuidland|https://aluku.nl
Timmeratelier Houtekiet|'s-Gravenhage|https://houtekiettimmeratelier.nl/contact
